1,060589
2,060602
3,060700
4,063157
5,063172
6,063222
7,063443
8,064197
9,064324
10,064651
11,064782
12,064855
13,064986
14,065185
15,065338
16,070624
17,070810
18,080531
19,080782
20,090222
21,100031
22,100075
23,100244
24,100313
25,100380
26,100387
27,101026
28,110879
29,110891
30,111439
31,111476
32,111496
33,120373
34,120428
35,120463
36,120771
37,130234
38,130333
39,130535
40,131527
41,131592
42,132162
43,132329
44,132832
45,132960
46,132984
47,133381
48,133980
49,134012
50,134092
51,134126
52,134221
53,134227
54,134230
55,134236
56,134362
57,134534
58,134542
59,134634
60,134690
61,134780
62,134791
63,134802
64,134843
65,135094
66,135095
67,135096
68,135933
69,137024
70,137046
71,137066
72,137108
73,137182
74,137207
75,137226
76,137280
77,137791
78,137948
79,137949
80,138139
81,138533
82,138544
83,138592
84,138799
85,138826
86,138870
87,138928
88,138941
89,139016
90,139289
91,139300
92,139586
93,139839
94,139855
95,139973
96,139985
97,139987
98,150239
99,150414
100,150638
101,150640
102,150642
103,150643
104,150664
105,150714
106,150851
107,150955
108,151007
109,151161
110,151581
111,151651
112,151656
113,151664
114,151864
115,151878
116,152145
117,152435
118,152645
119,152646
120,152647
121,152648
122,152720
123,152724
124,152752
125,152753
126,152903
127,060539
128,060555
129,063343
130,063416
131,063429
132,064036
133,064168
134,064538
135,064670
136,064876
137,064976
138,065926
139,066640
140,068019
141,068056
142,070003
143,070163
144,070262
145,070264
146,070359
147,070412
148,070418
149,070505
150,070671
151,070689
152,070874
153,071002
154,080396
155,100215
156,111663
157,111996
158,120278
159,120974
160,121086
161,130164
162,131146
163,131438
164,131550
165,131611
166,131624
167,131698
168,131832
169,132638
170,132780
171,133774
172,134762
173,135083
174,135964
175,136254
176,136402
177,136533
178,136577
179,136656
180,136657
181,136921
182,137102
183,137104
184,137175
185,137462
186,137565
187,137777
188,137934
189,137950
190,137956
191,138285
192,138286
193,138362
194,138522
195,138573
196,138591
197,138833
198,138892
199,138912
200,138958
201,138969
202,139036
203,139154
204,139193
205,139470
206,139856
207,139982
208,139983
209,139991
210,150618
211,150693
212,151317
213,151526
214,151538
215,151756
216,151873
217,152001
218,152046
219,152208
220,152237
221,152449
222,152754
223,152860
224,152894
225,152902
226,060696
227,063183
228,063880
229,064482
230,064978
231,070675
232,134904
233,150138
234,151402
235,151902
236,060528
237,070820
238,071152
239,121071
240,133632
241,134205
242,136692
243,139073
244,139203
245,060534
246,060536
247,060568
248,062407
249,063106
250,063109
251,063166
252,064832
253,064880
254,064927
255,070701
256,070740
257,070990
258,070992
259,071205
260,080527
261,100121
262,100674
263,100757
264,101034
265,101575
266,101666
267,110526
268,111063
269,120533
270,121105
271,121629
272,130543
273,131137
274,131945
275,132534
276,134067
277,134931
278,135242
279,135415
280,135693
281,135864
282,135866
283,136241
284,137058
285,137285
286,137286
287,137527
288,137804
289,137938
290,137946
291,137952
292,138443
293,138482
294,138647
295,139242
296,139243
297,139557
298,139848
299,139980
300,139989
301,150179
302,150619
303,150923
304,152102
305,152388
306,152758
307,152759
308,152767
309,152868
310,063111
311,139216
312,060530
